source,feature,ks_d,p
opus47,n_tokens,0.34833890746934226,1.4333723521429067e-16
opus47,n_chars,0.33566332218506134,1.6003854771625896e-15
opus47,mtld,0.0,1.0
opus47,flesch_kincaid_grade,0.2459308807134894,1.540695289130757e-08
opus47,hedge_count_per_100tok,0.04331103678929766,0.9221191667418567
opus47,abstract_noun_ratio,0.019933110367892977,0.9999998239436954
opus47,past_term_per_100tok,0.019988851727982163,0.9999998060768801
opus47,present_term_per_100tok,0.1879041248606466,4.4795322874985795e-05
opus47,future_term_per_100tok,0.02665551839464883,0.9997570904611156
opus47,is_question,0.321438127090301,3.783329336594127e-14
opus47,disfluency_per_100tok,0.12399108138238572,0.018208394332329285
opus47,contraction_rate,0.13391304347826086,0.008310421043705548
opus47,lowercase_first_char,0.008416945373467112,1.0
opus47,nonstandard_spelling,0.10653288740245262,0.05879072100539311
sonnet46,n_tokens,0.5,1.8916976044931988e-34
sonnet46,n_chars,0.46,5.226994065745332e-29
sonnet46,mtld,0.0,1.0
sonnet46,flesch_kincaid_grade,0.3,2.5881511422773775e-12
sonnet46,hedge_count_per_100tok,0.09,0.17609362474930004
sonnet46,abstract_noun_ratio,0.03666666666666667,0.9879477457246794
sonnet46,past_term_per_100tok,0.016666666666666666,0.9999999999989688
sonnet46,present_term_per_100tok,0.23666666666666666,8.835663084782468e-08
sonnet46,future_term_per_100tok,0.03,0.9993001912185819
sonnet46,is_question,0.4,7.903952866429726e-22
sonnet46,disfluency_per_100tok,0.37,1.1626372139489807e-18
sonnet46,contraction_rate,0.19333333333333333,2.562143273864415e-05
sonnet46,lowercase_first_char,0.07,0.4548928024568597
sonnet46,nonstandard_spelling,0.12666666666666668,0.01616247763682491
gpt5,n_tokens,0.81,5.295807577613035e-99
gpt5,n_chars,0.7533333333333333,1.5625361291774064e-83
gpt5,mtld,0.0,1.0
gpt5,flesch_kincaid_grade,0.45666666666666667,1.4045542336174573e-28
gpt5,hedge_count_per_100tok,0.14,0.005536865013092584
gpt5,abstract_noun_ratio,0.12,0.026515154829730034
gpt5,past_term_per_100tok,0.05,0.8483422371364409
gpt5,present_term_per_100tok,0.4766666666666667,3.2853777363193186e-31
gpt5,future_term_per_100tok,0.07333333333333333,0.3958302746926979
gpt5,is_question,0.37333333333333335,5.333457122241683e-19
gpt5,disfluency_per_100tok,0.056666666666666664,0.7220634112888834
gpt5,contraction_rate,0.04,0.9704671760269938
gpt5,lowercase_first_char,0.36333333333333334,5.3986221251734016e-18
gpt5,nonstandard_spelling,0.13333333333333333,0.00958895491281293
gemini25pro,n_tokens,0.3550278706800446,3.2977138597235125e-17
gemini25pro,n_chars,0.3188628762541806,5.6028502081400424e-14
gemini25pro,mtld,0.0,1.0
gemini25pro,flesch_kincaid_grade,0.20228539576365664,6.733397905483589e-06
gemini25pro,hedge_count_per_100tok,0.060390189520624304,0.6178799381034145
gemini25pro,abstract_noun_ratio,0.036945373467112595,0.9800678799998035
gemini25pro,past_term_per_100tok,0.006655518394648829,1.0
gemini25pro,present_term_per_100tok,0.12433667781493868,0.01809965213685261
gemini25pro,future_term_per_100tok,0.02992196209587514,0.9983272498026579
gemini25pro,is_question,0.2512040133779264,9.121093419104328e-09
gemini25pro,disfluency_per_100tok,0.10722408026755853,0.058785265415061655
gemini25pro,contraction_rate,0.21412486064659977,1.7042773950094262e-06
gemini25pro,lowercase_first_char,0.2258082497212932,2.914388726857251e-07
gemini25pro,nonstandard_spelling,0.10656633221850613,0.05878978354802399
llama33_70b,n_tokens,0.8061984392419175,8.949187540336743e-98
llama33_70b,n_chars,0.7862207357859532,3.912316563384945e-92
llama33_70b,mtld,0.0,1.0
llama33_70b,flesch_kincaid_grade,0.5293088071348941,4.69664058477904e-39
llama33_70b,hedge_count_per_100tok,0.331304347826087,4.94620374453211e-15
llama33_70b,abstract_noun_ratio,0.22759197324414715,2.807889898734418e-07
llama33_70b,past_term_per_100tok,0.040222965440356744,0.9571519800060859
llama33_70b,present_term_per_100tok,0.4788740245261984,1.701166836619735e-31
llama33_70b,future_term_per_100tok,0.11723522853957637,0.02969639792123984
llama33_70b,is_question,0.6993645484949833,1.583985900321032e-70
llama33_70b,disfluency_per_100tok,0.05333333333333334,0.7549493436892039
llama33_70b,contraction_rate,0.531917502787068,3.2023901914338224e-39
llama33_70b,lowercase_first_char,0.36293199554069117,3.437178043777673e-18
llama33_70b,nonstandard_spelling,0.12663322185061315,0.014115232568304195
deepseek_v3,n_tokens,0.8247154471544715,1.5017174779835823e-101
deepseek_v3,n_chars,0.8074448315911731,1.4465087258489253e-96
deepseek_v3,mtld,0.0,1.0
deepseek_v3,flesch_kincaid_grade,0.5624506387921022,2.488246512012349e-43
deepseek_v3,hedge_count_per_100tok,0.24313588850174217,4.038364188853292e-08
deepseek_v3,abstract_noun_ratio,0.3054006968641115,1.318053109850916e-12
deepseek_v3,past_term_per_100tok,0.023333333333333334,0.9999900606452974
deepseek_v3,present_term_per_100tok,0.579732868757259,3.420516687333497e-46
deepseek_v3,future_term_per_100tok,0.131335656213705,0.011148587180525839
deepseek_v3,is_question,0.43006968641114984,6.444035672224177e-25
deepseek_v3,disfluency_per_100tok,0.2299535423925668,2.631141668936054e-07
deepseek_v3,contraction_rate,0.24934959349593497,1.6082586187432357e-08
deepseek_v3,lowercase_first_char,0.4240998838559814,3.274487663174371e-24
deepseek_v3,nonstandard_spelling,0.19236933797909408,3.0567121442917335e-05
dpmodel_reasoning_gpt5mini,n_tokens,0.3233333333333333,2.858944731506222e-14
dpmodel_reasoning_gpt5mini,n_chars,0.26666666666666666,8.690124079460009e-10
dpmodel_reasoning_gpt5mini,mtld,0.0,1.0
dpmodel_reasoning_gpt5mini,flesch_kincaid_grade,0.13,0.012491357471341868
dpmodel_reasoning_gpt5mini,hedge_count_per_100tok,0.043333333333333335,0.9414474696413693
dpmodel_reasoning_gpt5mini,abstract_noun_ratio,0.02,0.9999999905275543
dpmodel_reasoning_gpt5mini,past_term_per_100tok,0.016666666666666666,0.9999999999989688
dpmodel_reasoning_gpt5mini,present_term_per_100tok,0.10333333333333333,0.0812184963146534
dpmodel_reasoning_gpt5mini,future_term_per_100tok,0.04666666666666667,0.9003231885744891
dpmodel_reasoning_gpt5mini,is_question,0.016666666666666666,0.9999999999989688
dpmodel_reasoning_gpt5mini,disfluency_per_100tok,0.043333333333333335,0.9414474696413693
dpmodel_reasoning_gpt5mini,contraction_rate,0.17333333333333334,0.00023624631733179933
dpmodel_reasoning_gpt5mini,lowercase_first_char,0.2866666666666667,2.8915775251270757e-11
dpmodel_reasoning_gpt5mini,nonstandard_spelling,0.11333333333333333,0.04233971280738159
