sample_id,source,model_label,position_bucket,top_subject,n_tokens,n_chars,mtld,flesch_kincaid_grade,hedge_count_per_100tok,disfluency_per_100tok,past_term_per_100tok,present_term_per_100tok,future_term_per_100tok,abstract_noun_ratio,is_question,contraction_rate,lowercase_first_char,nonstandard_spelling
d0360_t001,real,real,early,Number,6.0,15.0,0.0,-1.8399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0094_t005,real,real,early,Number,1.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0239_t002,real,real,early,Geometry and Measure,8.0,45.0,0.0,3.7550000000000026,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0065_t001,real,real,early,Number,5.0,21.0,0.0,0.5199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0007_t003,real,real,early,Number,3.0,19.0,0.0,5.246666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0122_t004,real,real,early,Number,1.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0270_t001,real,real,early,Number,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0068_t003,real,real,early,Number,9.0,36.0,0.0,1.0311111111111124,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.22222222222222
d0165_t001,real,real,early,Number,12.0,47.0,0.0,1.572727272727274,8.333333333333334,0.0,0.0,0.0,0.0,1.0,0.0,8.333333333333334,0.0,0.0
d0314_t003,real,real,early,Data and Statistics,4.0,17.0,0.0,5.246666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0301_t000,real,real,early,Algebra,1.0,5.0,0.0,8.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0160_t001,real,real,early,Number,21.0,86.0,0.0,-0.6599999999999966,0.0,4.761904761904762,0.0,0.0,0.0,0.25,0.0,0.0,1.0,9.523809523809524
d0054_t005,real,real,early,Geometry and Measure,11.0,42.0,0.0,-0.6699999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0150_t005,real,real,early,Number,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0117_t005,real,real,early,Number,1.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0131_t004,real,real,early,Number,4.0,6.0,0.0,8.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
d0017_t013,real,real,early,Number,1.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0132_t005,real,real,early,Number,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0319_t001,real,real,early,Number,6.0,23.0,0.0,0.5199999999999996,0.0,0.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0
d0186_t001,real,real,early,Number,5.0,18.0,0.0,0.5199999999999996,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0
d0092_t003,real,real,early,Geometry and Measure,1.0,5.0,0.0,8.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0279_t005,real,real,early,Number,67.0,224.0,0.0,0.2414285714285711,0.0,1.492537313432836,0.0,4.477611940298507,0.0,0.0,0.0,1.492537313432836,1.0,1.492537313432836
d0253_t002,real,real,early,Number,30.0,131.0,0.0,10.080000000000002,0.0,0.0,0.0,0.0,3.3333333333333335,0.5,0.0,0.0,0.0,0.0
d0070_t005,real,real,early,Number,19.0,76.0,0.0,2.342222222222226,0.0,5.2631578947368425,5.2631578947368425,5.2631578947368425,0.0,0.0,0.0,0.0,0.0,5.2631578947368425
d0284_t005,real,real,early,Number,5.0,10.0,0.0,-2.619999999999999,0.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
d0267_t003,real,real,early,Number,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0034_t002,real,real,early,Data and Statistics,7.0,28.0,0.0,2.4833333333333343,0.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,0.0,1.0,0.0
d0182_t003,real,real,early,Number,13.0,60.0,0.0,2.8566666666666656,0.0,0.0,0.0,15.384615384615385,0.0,0.0,0.0,0.0,0.0,30.76923076923077
d0372_t001,real,real,early,Algebra,5.0,13.0,0.0,-2.619999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0321_t002,real,real,early,Algebra,8.0,29.0,0.0,2.6321428571428562,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,1.0,12.5
d0131_t010,real,real,early,Number,6.0,20.0,0.0,0.7199999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0067_t003,real,real,early,Number,1.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0126_t002,real,real,early,Number,1.0,4.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0201_t003,real,real,early,Number,5.0,22.0,0.0,2.879999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
d0027_t005,real,real,early,Geometry and Measure,1.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0031_t005,real,real,early,Number,3.0,10.0,0.0,-2.619999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0367_t005,real,real,early,Number,8.0,41.0,0.0,0.8049999999999997,0.0,12.5,0.0,0.0,12.5,1.0,0.0,0.0,1.0,0.0
d0176_t003,real,real,early,Number,1.0,2.0,0.0,8.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0011_t000,real,real,early,Number,1.0,5.0,0.0,8.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0223_t035,real,real,early,Number,1.0,2.0,0.0,8.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0302_t003,real,real,early,Geometry and Measure,1.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0071_t002,real,real,early,Number,16.0,71.0,0.0,1.4685714285714297,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,6.25,0.0,0.0
d0211_t006,real,real,early,Algebra,2.0,7.0,0.0,8.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
d0072_t001,real,real,early,Number,1.0,1.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0005_t003,real,real,early,Number,1.0,8.0,0.0,8.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0214_t003,real,real,early,Algebra,9.0,27.0,0.0,-0.27999999999999936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0129_t003,real,real,early,Number,12.0,58.0,0.0,4.790909090909089,0.0,0.0,0.0,8.333333333333334,8.333333333333334,1.0,1.0,0.0,0.0,0.0
d0158_t002,real,real,early,Number,8.0,36.0,0.0,0.8049999999999997,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,12.5
d0376_t003,real,real,early,Algebra,8.0,35.0,0.0,2.3114285714285714,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,1.0,12.5
d0081_t005,real,real,early,Algebra,10.0,31.0,0.0,-0.754999999999999,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0
d0172_t007,real,real,early,Number,7.0,14.0,0.0,-2.619999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
d0329_t007,real,real,early,Number,2.0,8.0,0.0,2.890000000000004,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0158_t000,real,real,early,Number,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0355_t003,real,real,early,Number,1.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0071_t008,real,real,early,Number,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0211_t004,real,real,early,Algebra,3.0,8.0,0.0,2.890000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0328_t001,real,real,early,Number,1.0,4.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0258_t001,real,real,early,Data and Statistics,1.0,1.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0169_t001,real,real,early,Number,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0291_t001,real,real,early,Number,1.0,5.0,0.0,8.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0031_t009,real,real,early,Number,1.0,4.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0088_t009,real,real,early,Algebra,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0260_t001,real,real,early,Data and Statistics,11.0,52.0,0.0,2.4700000000000024,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0
d0206_t003,real,real,early,Algebra,31.0,139.0,0.0,6.272307692307695,0.0,0.0,0.0,3.225806451612903,0.0,0.0,0.0,6.451612903225806,1.0,0.0
d0289_t003,real,real,early,Algebra,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0029_t001,real,real,early,Geometry and Measure,1.0,1.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0290_t004,real,real,early,Algebra,3.0,8.0,0.0,-2.619999999999999,0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,1.0,33.333333333333336
d0290_t002,real,real,early,Algebra,4.0,21.0,0.0,1.3133333333333361,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,25.0
d0129_t001,real,real,early,Number,9.0,42.0,0.0,2.342222222222226,0.0,0.0,11.11111111111111,0.0,0.0,0.5,0.0,0.0,0.0,0.0
d0070_t007,real,real,early,Number,36.0,148.0,0.0,4.813333333333336,2.7777777777777777,0.0,0.0,0.0,5.555555555555555,0.0,0.0,2.7777777777777777,0.0,0.0
d0300_t001,real,real,early,Number,12.0,42.0,0.0,2.342222222222226,8.333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
d0326_t001,real,real,early,Number,22.0,96.0,0.0,4.238333333333333,0.0,0.0,0.0,4.545454545454546,4.545454545454546,0.3333333333333333,0.0,0.0,0.0,9.090909090909092
d0170_t001,real,real,early,Number,7.0,28.0,0.0,0.6257142857142846,0.0,0.0,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0309_t002,real,real,early,Data and Statistics,1.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0045_t004,real,real,early,Number,1.0,2.0,0.0,8.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0314_t001,real,real,early,Data and Statistics,2.0,8.0,0.0,2.890000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0192_t003,real,real,early,Number,12.0,47.0,0.0,2.645454545454548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.333333333333334
d0185_t003,real,real,early,Number,11.0,53.0,0.0,5.240000000000002,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0
d0123_t005,real,real,early,Number,1.0,1.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0049_t001,real,real,early,Geometry and Measure,6.0,25.0,0.0,0.5199999999999996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
d0331_t003,real,real,early,Number,25.0,110.0,0.0,8.25826086956522,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0
d0333_t001,real,real,early,Number,8.0,31.0,0.0,-0.6699999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5
d0221_t009,real,real,early,Algebra,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0079_t003,real,real,early,Number,1.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0025_t001,real,real,early,Geometry and Measure,24.0,111.0,0.0,8.544545454545453,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,4.166666666666667,0.0,0.0
d0360_t003,real,real,early,Number,6.0,32.0,0.0,5.240000000000002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.666666666666668,1.0,0.0
d0072_t005,real,real,early,Number,1.0,14.0,0.0,43.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0
d0047_t001,real,real,early,Geometry and Measure,9.0,31.0,0.0,2.4833333333333343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111
d0221_t005,real,real,early,Algebra,2.0,8.0,0.0,-3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0235_t003,real,real,early,Algebra,4.0,13.0,0.0,-2.619999999999999,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0080_t009,real,real,early,Number,8.0,29.0,0.0,-0.6699999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0015_t005,real,real,early,Geometry and Measure,12.0,55.0,0.0,3.7181818181818187,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,8.333333333333334,0.0,0.0
d0248_t007,real,real,early,Number,5.0,17.0,0.0,-1.8399999999999999,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
d0161_t001,real,real,early,Number,1.0,2.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0347_t003,real,real,early,Number,1.0,2.0,0.0,8.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0105_t005,real,real,early,Geometry and Measure,10.0,45.0,0.0,0.11000000000000121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d0221_t007,real,real,early,Algebra,1.0,3.0,0.0,-3.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
